country,happiness_score,region,year,corruption_perceptionP1,freedomP1,gdp_per_capitaP1,generosityP1,happiness_scoreP1,life_expectancyP1,social_supportP1,corruption_perceptionP2,freedomP2,gdp_per_capitaP2,generosityP2,happiness_scoreP2,life_expectancyP2,social_supportP2,corruption_perceptionP3,freedomP3,gdp_per_capitaP3,generosityP3,happiness_scoreP3,life_expectancyP3,social_supportP3,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Qatar,71.70385395537525,Middle East and Northern Africa,2018,100.0,83.44350598793659,89.25408807419655,64.54567774198946,71.72413793103449,62.23471409181664,77.51197565501033,100.0,78.28591160220994,87.03578244274809,63.2578125,71.72413793103449,62.85977212971078,53.506082725060814,100.0,88.45303867403315,80.64980916030535,63.619140625,76.5111561866126,69.87992988606486,65.60827250608273,0,0,0,0,1,0,0,0,0,0
France,74.03651115618659,Western Europe,2018,56.68522269629697,64.94780601058879,68.26924913712118,25.344200548715822,73.08316252052659,74.01102995475478,84.41465034392031,58.51804265965134,64.31215469613258,66.54961832061068,23.75,73.81338742393508,73.43996494303242,61.13625304136252,67.843862800492,75.98204419889501,60.96278625954198,24.0859375,75.78093306288032,82.89132340052582,76.66545012165449,0,0,0,0,0,0,0,0,0,1
Argentina,71.98782961460445,Latin America and Caribbean,2018,19.63084735935097,68.30375744492969,56.55035604047424,21.378332166932623,76.26774801443854,60.92349548908204,87.61868279635765,23.975047127404324,58.40331491712706,54.9317748091603,21.462890625000004,77.30223123732253,61.09640666082385,64.84914841849148,27.87887881426785,62.118784530386726,50.262881679389295,22.365234375,75.7606490872211,68.99474145486415,75.92639902676397,0,0,0,1,0,0,0,0,0,0
Czech Republic,78.53955375253551,Central and Eastern Europe,2018,12.11664151500889,67.81024498175523,64.53637175887596,17.208351346198477,76.47059241366429,66.12129737994425,87.21929542049574,13.098209683365354,57.20718232044199,62.45944656488549,19.392578125,76.20689655172414,66.93777388255916,61.309610705596114,8.714614169665058,64.03867403314915,56.249045801526705,20.87109375,74.36105476673428,74.04294478527606,73.38381995133821,0,1,0,0,0,0,0,0,0,0
Uruguay,71.80527383367141,Latin America and Caribbean,2018,58.51208593850171,80.026554468587,58.08968011659542,34.198618959635546,73.3265719307363,63.03390215406493,85.9019385057062,70.3018308996283,75.12154696132595,56.372614503816784,35.265625,75.17241379310346,63.26292725679229,62.7390510948905,80.69890451683051,83.37292817679555,50.6517175572519,45.39062499999999,73.9553752535497,71.13058720420683,73.53406326034063,0,0,0,1,0,0,0,0,0,0
Colombia,69.39148073022312,Latin America and Caribbean,2018,15.33559875657138,65.95130042476546,51.079309396161264,29.104389250278512,71.35902381571991,52.14968655424925,85.29093288737224,17.74140343213486,61.78867403314918,49.156488549618324,30.51953125,73.8742393509128,52.28659070990359,62.14659367396593,16.824594475371455,73.84806629834254,43.82681297709924,35.93945312499999,73.79310344827587,60.5407537248028,75.43673965936738,0,0,0,1,0,0,0,0,0,0
Thailand,65.57809330628804,Southeastern Asia,2018,10.388114271446684,80.13822261799763,53.81053299394275,100.0,72.71804840521197,56.7255941636723,86.72703501661921,9.309389872798308,68.44337016574585,51.97041984732825,100.0,73.7322515212982,56.893076248904464,63.55048661800487,10.472652850197038,76.88397790055247,46.1307251908397,100.0,73.34685598377283,64.7239263803681,76.94890510948905,0,0,0,0,0,0,1,0,0,0
Saudi Arabia,71.6430020283976,Middle East and Northern Africa,2018,89.85130475291786,62.12024481257015,73.02593297630773,28.831252711824998,71.0953319000183,51.722027145907276,78.26506076357967,98.60789668299739,52.353591160220994,71.06536259541984,30.189453125000004,71.80527383367141,51.943032427694995,51.59914841849148,100.0,42.88397790055248,66.57490458015268,26.76953125,72.45436105476675,63.12445223488168,65.9324817518248,0,0,0,0,1,0,0,0,0,0
Spain,70.40567951318458,Western Europe,2018,23.30275247664798,56.46149591846367,66.04951642851813,37.13546320796016,72.29208677342172,77.9106573093157,93.19287727058943,20.166510995186453,51.85773480662983,64.05200381679388,34.501953125,71.44016227180529,77.034180543383,68.70133819951339,21.024170986997376,63.46823204419889,58.68845419847328,35.599609375,70.79107505070994,83.75284837861524,79.91423357664233,0,0,0,0,0,0,0,0,0,1
Malta,76.83569979716026,Western Europe,2018,50.298330800293144,81.32141598021781,64.08777855734779,100.0,74.80730122533348,72.03718113544005,90.53598935296654,57.68338504309971,75.9585635359116,62.39599236641221,100.0,74.01622718052737,70.3900087642419,66.83637469586374,44.644324324686835,83.3770718232044,57.604961832061065,100.0,70.24340770791076,77.7572304995618,79.19890510948905,0,0,0,0,0,0,0,0,0,1
