country,corruption_perception,freedom,gdp_per_capita,generosity,happiness_score,life_expectancy,social_support,year,happiness_scoreP1,Australia and New Zealand,Central and Eastern Europe,Eastern Asia,Latin America and Caribbean,Middle East and Northern Africa,North America,Southeastern Asia,Southern Asia,Sub-Saharan Africa,Western Europe
Costa Rica,33.18914144555697,87.29281767955798,48.18702290076336,27.9296875,85.86206896551725,71.60385626643296,88.7469586374696,2018,86.00405671775458,0,0,0,1,0,0,0,0,0,0
Croatia,12.815609073036851,52.48618784530387,53.19656488549618,23.4375,50.344827586206904,64.59246275197195,70.62043795620437,2018,49.7768807556276,0,1,0,0,0,0,0,0,0,0
Cyprus,11.501187629648456,58.425414364640865,58.6354961832061,39.45312499999999,59.290060851927,79.6669588080631,72.44525547445254,2018,56.430016492491504,0,0,0,0,0,0,0,0,0,1
Czech Republic,11.172582268801358,74.99999999999997,58.8263358778626,12.5,78.53955375253551,74.84662576687117,90.57177615571777,2018,76.47059241366429,0,1,0,0,0,0,0,0,0,0
Denmark,100.0,94.33701657458563,64.45610687022901,55.46874999999999,95.65922920892494,76.07361963190182,96.71532846715328,2018,94.98985468494972,0,0,0,0,0,0,0,0,0,1
Dominican Republic,34.832168249792474,79.83425414364639,46.851145038167935,23.4375,49.95943204868156,53.81244522348817,87.65206812652065,2018,48.498986188103274,0,0,0,1,0,0,0,0,0,0
Ecuador,39.43264330165185,76.79558011049724,42.41412213740458,22.265625,63.56997971602434,64.5048203330412,80.90024330900243,2018,64.27991677491218,0,0,0,1,0,0,0,0,0,0
Egypt,35.16077361063956,43.093922651933696,42.22328244274809,17.96875,32.04868154158215,48.466257668711656,62.34793187347931,2018,38.458420558101416,0,0,0,0,1,0,0,0,0,0
El Salvador,26.94563958946209,63.67403314917126,38.45419847328244,12.6953125,67.50507099391483,56.00350569675723,74.87834549878343,2018,64.17849457529938,0,0,0,1,0,0,0,0,0,0
Estonia,57.17733278739517,76.38121546961324,57.25190839694656,16.796874999999996,58.82352941176471,64.59246275197195,93.18734793187346,2018,56.227181765419076,0,1,0,0,0,0,0,0,0,0
Ethiopia,47.976382683676405,62.43093922651935,14.694656488549619,42.96875,30.64908722109533,34.26818580192813,57.785888077858864,2018,32.88032531738276,0,0,0,0,0,0,0,0,1,0
Finland,100.0,94.06077348066296,62.26145038167938,39.45312499999999,97.22109533468564,76.59947414548644,96.8369829683698,2018,93.91480451665116,0,0,0,0,0,0,0,0,0,1
France,57.834543509089386,71.82320441988949,61.688931297709935,19.140625,74.03651115618659,79.57931638913234,89.17274939172749,2018,73.08316252052659,0,0,0,0,0,0,0,0,0,1
Gabon,17.087478764049134,49.17127071823205,49.42748091603054,6.25,38.92494929006086,35.40753724802804,70.80291970802921,2018,32.98174751699573,0,0,0,0,0,0,0,0,1,0
Georgia,70.65015258212621,51.79558011049723,40.69656488549618,7.421875,30.446247464503042,56.35407537248028,36.009732360097324,2018,29.350908213648285,0,1,0,0,0,0,0,0,0,0
Germany,92.00950103718765,80.939226519337,63.93129770992366,53.3203125,83.69168356997972,75.4601226993865,89.65936739659367,2018,83.40771224387525,0,0,0,0,0,0,0,0,0,1
Ghana,9.529555464565863,68.92265193370164,28.24427480916031,41.40625,36.8762677484787,29.535495179666963,54.50121654501216,2018,25.98377049815579,0,0,0,0,0,0,0,0,1,0
Greece,14.458635877272346,18.0939226519337,55.05725190839696,0.0,51.09533468559837,77.03768624014022,73.11435523114355,2018,48.438138671627385,0,0,0,0,0,0,0,0,0,1
Guatemala,23.33098062014401,83.42541436464087,37.26145038167938,34.9609375,71.86612576064908,53.28659070990359,77.12895377128953,2018,73.3265719307363,0,0,0,1,0,0,0,0,0,0
Guinea,30.888903919627282,54.41988950276242,16.41221374045801,36.1328125,22.819472616632858,18.492550394390886,48.175182481751825,2018,13.549695121347265,0,0,0,0,0,0,0,0,1,0
Haiti,34.17495752809827,3.4530386740331487,15.028625954198475,76.5625,15.070993914807303,25.32865907099036,43.430656934306576,2018,15.496955894795127,0,0,0,1,0,0,0,0,0,0
Honduras,24.31679670268531,63.39779005524861,29.58015267175573,38.47656249999999,54.056795131845846,54.51358457493427,73.29683698296837,2018,47.50507571392557,0,0,0,1,0,0,0,0,0,0
Hungary,7.229317938636173,35.773480662983424,55.86832061068703,11.9140625,56.40973630831644,64.15425065731813,85.21897810218978,2018,50.40567711449048,0,1,0,0,0,0,0,0,0,0
Iceland,45.34753979689962,93.50828729281768,64.07442748091604,68.9453125,94.4421906693712,80.10517090271692,100.0,2018,94.62475024178842,0,0,0,0,0,0,0,0,0,1
India,30.560298558780183,74.44751381215468,34.39885496183206,33.59374999999999,27.403651115618672,42.506573181419796,45.43795620437956,2018,29.93914923368073,0,0,0,0,0,0,0,1,0,0
Indonesia,5.914896495247778,74.30939226519335,42.8912213740458,94.53125,45.720081135902646,45.749342681858025,73.9051094890511,2018,49.148074724611355,0,0,0,0,0,0,1,0,0,0
Iran,42.390091549275745,63.39779005524861,50.524809160305345,55.07812499999999,37.89046653144016,60.560911481156886,46.8978102189781,2018,37.58620511687546,0,0,0,0,1,0,0,0,0,0
Iraq,31.217509280474378,41.988950276243095,48.18702290076336,28.90625000000001,32.79918864097364,46.9763365468887,59.0632603406326,2018,33.63083605350385,0,0,0,0,1,0,0,0,0,0
Ireland,100.0,84.80662983425414,69.08396946564886,59.9609375,83.93509127789048,76.77475898334794,96.28953771289538,2018,83.93509607527851,0,0,0,0,0,0,0,0,0,1
Israel,89.38065815041088,73.61878453038672,62.0706106870229,69.140625,80.6288032454361,77.38825591586328,94.82968369829685,2018,88.72210589673898,0,0,0,0,1,0,0,0,0,0
Italy,9.200950103718764,38.8121546961326,60.30534351145039,26.757812499999996,64.11764705882354,82.9097283085013,91.30170316301702,2018,63.387428500347674,0,0,0,0,0,0,0,0,0,1
